TYPE_EDC,Category,sub_category,dep_methods,useful_life,ori_currency,acq_cost,exchange,equal_idr,purchase_date,depre_exp,acc_exp,nbv,invoice,po,Adaptor_S_N,Adaptor_S_N,node,user,bussines_unit,City,MID,note,parent_id,Area,OS,application,Merch_Program,T_I_D,owner
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200207714,200207714,,aodofficer,Acquiring Operation Department,MANADO,79056304,,1.00E+11,MAKASSAR,,,,86004005,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200207709,200207709,,aodofficer,Acquiring Operation Department,MANADO,79039104,,1.00E+11,MAKASSAR,,,,86002305,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200207692,200207692,,aodofficer,Acquiring Operation Department,Bandung,40995000,,3085063,Bandung,,,,58008401,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200207670,200207670,,aodofficer,Acquiring Operation Department,Bandung,40956802,,2927985,Bandung,,,,59107915,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200207659,200207659,,aodofficer,Acquiring Operation Department,Pontianak,27257301,,3180766,BALIKPAPAN,,,,88008702,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200207617,200207617,,aodofficer,Acquiring Operation Department,Bandung,40956802,,3180741,Bandung,,,,59107606,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200207611,200207611,,aodofficer,Acquiring Operation Department,Bandung,40985000,,3035065,Bandung,,,,58008001,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200207610,200207610,,aodofficer,Acquiring Operation Department,Bandung,40956802,,3180700,Bandung,,,,59107923,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200207579,200207579,,aodofficer,Acquiring Operation Department,Bengkulu,99933100,,,Batam,,,,82003301,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200207560,200207560,,aodofficer,Acquiring Operation Department,Pontianak,27261500,,3180582,BALIKPAPAN,,,,88009101,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200206738,200206738,,aodofficer,Acquiring Operation Department,BALIKPAPAN,60246500,,3180685,BALIKPAPAN,,,,60101501,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200206732,200206732,,aodofficer,Acquiring Operation Department,Samarinda,33154900,,2961906,BALIKPAPAN,,,,34102201,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200206688,200206688,,aodofficer,Acquiring Operation Department,BALIKPAPAN,60259900,,3180835,BALIKPAPAN,,,,60102801,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200204799,200204799,,aodofficer,Acquiring Operation Department,Bandung,40956802,,3085066,Bandung,,,,59107602,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200204796,200204796,,aodofficer,Acquiring Operation Department,Bandung,40956800,,2961757,Bandung,,,,58004541,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200204788,200204788,,aodofficer,Acquiring Operation Department,Pontianak,27258100,,3180716,BALIKPAPAN,,,,88008801,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200204786,200204786,,aodofficer,Acquiring Operation Department,Bandung,40956800,,2961804,Bandung,,,,58004530,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200204767,200204767,,aodofficer,Acquiring Operation Department,Bandung,40956800,,2961706,Bandung,,,,58004517,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200204761,200204761,,aodofficer,Acquiring Operation Department,Pontianak,27260700,,2961670,BALIKPAPAN,,,,88009001,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200204756,200204756,,aodofficer,Acquiring Operation Department,PURWOKERTO,35944100,,2961855,YOGYAKARTA,,,-,5500 61 01,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200204749,200204749,,aodofficer,Acquiring Operation Department,Bandung,40956800,,2961712,Bandung,,,,58004516,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200204747,200204747,,aodofficer,Acquiring Operation Department,Bandung,40956800,,2961710,Bandung,,,,58004518,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200204744,200204744,,aodofficer,Acquiring Operation Department,Pontianak,27259900,,3084845,BALIKPAPAN,,,,88008901,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200204730,200204730,,aodofficer,Acquiring Operation Department,Bandung,40956800,,2961676,Bandung,,,,58004531,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200204720,200204720,,aodofficer,Acquiring Operation Department,Bandung,40956802,,3180815,Bandung,,,,59107605,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200204718,200204718,,aodofficer,Acquiring Operation Department,Bandung,40956800,,2961805,Bandung,,,,58004528,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200204716,200204716,,aodofficer,Acquiring Operation Department,Pontianak,27227300,,3180661,BALIKPAPAN,,,,88005501,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200204712,200204712,,aodofficer,Acquiring Operation Department,Bandung,40956800,,2961678,Bandung,,,,58004535,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200204710,200204710,,aodofficer,Acquiring Operation Department,Bandung,40956800,,2961713,Bandung,,,,58004514,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200204706,200204706,,aodofficer,Acquiring Operation Department,Bandung,40956800,,2961755,Bandung,,,,58004537,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200204704,200204704,,aodofficer,Acquiring Operation Department,Bandung,40956800,,2961708,Bandung,,,,58004515,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,200204694,200204694,,aodofficer,Acquiring Operation Department,Bandung,40956800,,2961807,Bandung,,,,58004542,purchase
